id,workspace_id,user_id,twitter_id,text,source,retweet,geo,longitude,latitude,place_type,place_name,place_country_code,place_country,favorite_count,retweet_count,sentiment,possibly_sensitive,lang,posted_at,updated_at,created_at,
10275,3,8,826601852468941000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-02-01 01:23:33 +0000,2017-02-20 01:55:10 +0000,2017-02-20 01:55:10 +0000,
10274,3,8,826602176927642000,0,Twitter Web Client,true,false,,,,,,,0,40,,false,es,2017-02-01 01:24:51 +0000,2017-02-20 01:55:10 +0000,2017-02-20 01:55:09 +0000,
10279,3,8,826481222108996000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-01-31 17:24:13 +0000,2017-02-20 01:55:10 +0000,2017-02-20 01:55:10 +0000,
10285,3,8,826157750338122000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-01-30 19:58:51 +0000,2017-02-20 01:55:10 +0000,2017-02-20 01:55:10 +0000,
10287,3,8,825865943268094000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-01-30 00:39:19 +0000,2017-02-20 01:55:10 +0000,2017-02-20 01:55:10 +0000,
10248,3,8,826921774378008000,0,Twitter Web Client,true,false,,,,,,,0,17,,false,es,2017-02-01 22:34:49 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10249,3,8,826920032521376000,0,Twitter Web Client,true,false,,,,,,,0,22,,false,es,2017-02-01 22:27:53 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10250,3,8,826906288370090000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-02-01 21:33:16 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10252,3,8,826904428036948000,0,Twitter Web Client,false,false,,,,,,,0,0,,false,es,2017-02-01 21:25:53 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
10255,3,8,826879226645189000,0,Twitter Web Client,true,false,,,,,,,0,2,,false,es,2017-02-01 19:45:44 +0000,2017-02-20 01:55:09 +0000,2017-02-20 01:55:09 +0000,
